Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       17     0.00     0.00  std::__detail::_Map_base<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int const&)
  0.00      0.00     0.00       17     0.00     0.00  std::tuple_element<0ul, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >::type const& std::get<0ul, int const, std::__cxx11::list<int, std::allocator<int> > >(std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > const&)
  0.00      0.00     0.00       16     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_begin() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Hashtable<int, std::pair<int const, bool>, std::allocator<std::pair<int const, bool> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       16     0.00     0.00  std::_Hashtable<int, std::pair<int const, bool>, std::allocator<std::pair<int const, bool> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       16     0.00     0.00  std::unordered_map<int, bool, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, bool> > >::operator[](int const&)
  0.00      0.00     0.00       16     0.00     0.00  std::__detail::_Map_base<int, std::pair<int const, bool>, std::allocator<std::pair<int const, bool> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int const&)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, bool> >::_M_ptr() const
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, bool> >::_M_addr() const
  0.00      0.00     0.00       14     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, bool> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, bool> const&>(std::pair<int const, bool> const&) const
